name,birth date,party,university,age
Saqib Bhatti,1985-06-18,Vice Chairman of the Conservative Party for Business,London School of Economics and Political Science,38.0
Karen Bradley,1970-03-12,Conservative,Imperial College London,53.2
Jack Brereton,1991-05-13,Conservative,Keele University,32.1
Liam Byrne,1970-10-02,Labour,University of Manchester,52.7
Bill Cash,1940-05-10,Conservative,"Lincoln College, Oxford",83.1
Theo Clarke,1985-08-04,Conservative,Newcastle University,37.8
Paulette Hamilton,,John Clancy,,
Philip Dunne,1958-08-14,Conservative,"Keble College, Oxford",64.8
Michael Fabricant,1950-06-12,Conservative,Loughborough University,73.0
Colleen Fletcher,1954-11-23,Labour,,68.5
Mark Garnier,1963-02-26,Conservative,,60.3
Jo Gideon,1952-11-07,Conservative,University of Birmingham,70.6
Preet Gill,1972-11-21,Labour Co-op,University of East London,50.5
Kate Kniveton,,Conservative,University of Exeter,
Jonathan Gullis,1990-01-09,Conservative,Oxford Brookes University,33.4
Nigel Huddleston,1970-10-13,Conservative,"Christ Church, Oxford",52.6
Eddie Hughes,1968-10-03,Conservative,University of Glamorgan,54.7
Sajid Javid,1969-12-05,Conservative,University of Exeter,53.5
Marcus Jones,1974-04-05,Vice Chairman of the Conservative Party for Local Government,,49.2
Daniel Kawczynski,1972-01-24,Conservative,University of Stirling,51.4
Julian Knight,1972-01-05,Independent,University of Hull,51.4
Marco Longhi,1967-04-22,Conservative,,56.1
Rachel Maclean,1965-10-03,Vice Chairman of the Conservative Party,"St Hugh's College, Oxford",57.7
Khalid Mahmood,1961-07-13,Labour,,61.9
Shabana Mahmood,1980-09-17,Labour Party National Campaign Coordinator,Lincoln College,42.7
Steve McCabe,1955-08-04,Labour,University of Bradford,67.9
Pat McFadden,1965-03-26,Labour,University of Edinburgh,58.2
Amanda Milling,1975-03-12,Chairman of the Conservative Party,University College London,48.2
Andrew Mitchell,1956-03-23,Conservative,"Jesus College, Cambridge",67.2
Helen Morgan,1975-04-09,Liberal Democrats,"Trinity College, Cambridge",48.2
James Morris,1967-02-04,Conservative,University of Birmingham,56.3
Wendy Morton,1967-11-09,Chief Whip of the House of Commons,Open University,55.6
Jesse Norman,1962-06-23,Conservative,"Merton College, Oxford",61.0
Taiwo Owatemi,1992-07-22,Labour,University of Kent,30.9
Mark Pawsey,1957-01-16,Conservative,Reading University,66.4
Jess Phillips,1981-10-09,Labour,University of Leeds,41.7
Chris Pincher,1969-09-24,Independent,London School of Economics,53.7
Mark Pritchard,1966-11-22,Conservative,London Guildhall University,56.5
Nicola Richards,1994-12-19,Conservative,University of Birmingham,28.4
Gary Sambrook,1989-06-25,Conservative,,33.9
John Spellar,1947-08-05,Doug Henderson,"St Edmund Hall, Oxford",75.9
Jane Stevenson,1971-02-18,Conservative,Guildhall School of Music,52.3
Zarah Sultana,1993-10-31,Labour,University of Birmingham,29.6
Craig Tracey,1974-08-21,Conservative,,48.8
Valerie Vaz,1954-12-07,Labour,University of London,68.5
Robin Walker,1978-04-12,Conservative,"Balliol College, Oxford",45.1
Suzanne Webb,1966-02-04,Conservative,,57.3
Matt Western,1962-11-07,Labour,University of Bristol,60.6
Bill Wiggin,1966-06-04,Conservative,Bangor University,57.0
Gavin Williamson,1976-06-25,Chief Whip of the House of Commons,University of Bradford,46.9
Mike Wood,1976-03-17,Conservative,Aberystwyth University,47.2
Jeremy Wright,1972-10-24,Conservative,University of Exeter,50.6
Nadhim Zahawi,1967-06-02,Chairman of the Conservative Party,University College London,56.0
Nigel Adams,1966-11-30,Conservative,,56.5
Stuart Andrew,1971-11-25,Conservative,,51.5
Hilary Benn,1953-11-26,Labour,University of Sussex,69.5
Clive Betts,1950-01-13,Labour,"Pembroke College, Cambridge",73.4
Olivia Blake,1990-03-10,Labour,University of Sheffield,33.2
Paul Blomfield,1953-08-25,Labour,"St John's College, York",69.8
Richard Burgon,1980-09-19,Labour,"St John's College, Cambridge",42.7
Miriam Cates,1982-08-23,Conservative,University of Cambridge,40.8
Sarah Champion,1969-07-10,Labour,University of Sheffield,53.9
Yvette Cooper,1969-03-20,Labour,"Balliol College, Oxford",54.2
Judith Cummins,1967-06-26,Labour,University of Leeds,55.9
Philip Davies,1972-01-05,Conservative,University of Huddersfield,51.4
David Davis,1948-12-23,Chairman of the Conservative Party,University of Warwick,74.5
Mark Eastwood,1971-03-14,Conservative,,52.2
Nick Fletcher,1972-07-15,Conservative,,50.9
Gill Furniss,1957-03-14,Labour,Leeds Beckett University,66.2
Robert Goodwill,1956-12-31,Geraint Davies,Newcastle University,66.4
Louise Haigh,1987-07-22,Labour,University of Nottingham,35.9
Fabian Hamilton,1955-04-12,Labour,University of York,68.2
Emma Hardy,1979-07-17,Labour,University of Liverpool,43.9
John Healey,1960-02-13,Labour,"Christ's College, Cambridge",63.3
Kevin Hollinrake,1963-09-28,Conservative,Sheffield Polytechnic,59.7
Imran Hussain,1978-06-07,Labour,University of Huddersfield,45.0
Dan Jarvis,1972-11-30,Labour,Aberystwyth University,50.5
Andrea Jenkyns,1974-06-16,Conservative,University of Lincoln,49.0
Diana Johnson,1966-07-25,Labour Party,Queen Mary University of London,56.9
Andrew Jones,1963-11-28,Vice Chairman of the Conservative Party for Business Engagement,University of Leeds,59.5
Gregory Knight,1949-04-04,Conservative,The College of Law,74.2
Simon Lightwood,1980-12-15,Labour and Co-operative,,42.5
Holly Lynch,1986-10-08,Labour,Lancaster University,36.7
Rachael Maskell,1972-07-05,Labour Co-op,University of East Anglia,50.9
Jason McCartney,1968-01-29,Conservative,,55.4
Ed Miliband,1969-12-24,Leader of the Labour Party,"Corpus Christi College, Oxford",53.5
Robbie Moore,1984-11-28,Conservative,,38.5
Holly Mumby-Croft,,Conservative,Lincoln University,
Lia Nici,1969-08-01,Conservative,,53.8
Stephanie Peacock,,Labour,"Queen Mary, University of London",
Andrew Percy,1977-09-18,Conservative,University of York,45.7
Rachel Reeves,1979-02-13,Labour,"New College, Oxford",44.3
Naz Shah,1973-11-13,Labour,,49.6
Barry Sheerman,1940-08-17,John Smith,London School of Economics,82.8
Alec Shelbrooke,1976-01-10,Conservative,Brunel University,47.4
Julian Smith,1971-08-30,Conservative,University of Birmingham,51.8
Alex Sobel,1975-04-26,Labour Co-op,University of Leeds,48.1
Alexander Stafford,1987-07-19,Vice Chairman of the Conservative Party for Policy,"St Benet's Hall, Oxford",35.9
Graham Stuart,1962-03-12,Neil Carmichael,"Selwyn College, Cambridge",61.2
Julian Sturdy,1971-06-03,Conservative,Harper Adams University,52.0
Rishi Sunak,1980-05-12,Leader of the Conservative Party,"Lincoln College, Oxford",43.1
Jon Trickett,1950-07-02,Labour Party National Campaign Coordinator,University of Hull,72.9
Karl Turner,1971-04-15,Labour,University of Hull,52.1
Martin Vickers,1950-09-13,Conservative,University of Lincoln,72.7
Craig Whittaker,1962-08-30,Conservative,,60.8
Rosie Winterton,1958-08-10,Labour,University of Hull,64.8
Tonia Antoniazzi,1971-10-05,Labour,University of Exeter,51.7
Sarah Atherton,1967-11-15,Conservative,Liverpool University,55.6
Simon Baynes,1960-04-21,Conservative,"Magdalene College, Cambridge",63.1
Kevin Brennan,1959-10-16,Labour,"Pembroke College, Oxford",63.6
Chris Bryant,1962-01-11,Labour,"Mansfield College, Oxford",61.4
Alun Cairns,1970-07-30,Conservative,"University of Wales, Newport",52.9
Stephen Crabb,1973-01-20,Welsh Conservative,University of Bristol,50.4
Virginia Crosbie,1966-12-08,Conservative,Queen Mary University of London,56.5
Wayne David,1957-07-01,European Parliamentary Labour Party,Cardiff University,65.9
David TC Davies,1970-07-27,Conservative,,52.9
Geraint Davies,1960-05-03,Labour Co-op,"Jesus College, Oxford",63.1
James Davies,1980-02-27,Conservative,"Christ's College, Cambridge",43.3
Alex Davies-Jones,1989-04-05,Labour,Cardiff University,34.2
Stephen Doughty,1980-04-15,Labour Co-op,"Corpus Christi College, Oxford",43.1
Jonathan Edwards,1976-04-26,Plaid Cymru,,47.1
Chris Elmore,1983-12-23,Welsh Labour,Cardiff Metropolitan University,39.4
Chris Evans,1977-07-17,Labour Co-op,,45.9
Nia Griffith,1956-12-04,Labour,"Somerville College, Oxford",66.5
Carolyn Harris,1960-09-18,Deputy Leader of Welsh Labour,Swansea University,62.7
Simon Hart,1963-08-15,Chief Whip of the House of Commons,,59.8
David Jones,1952-03-22,Conservative,University College London,71.2
Fay Jones,1985-01-18,Conservative,,38.4
Gerald Jones,1970-08-21,Labour,,52.8
Ruth Jones,1962-04-23,Labour,Cardiff University,61.1
Stephen Kinnock,1970-01-01,Labour,"Queens' College, Cambridge",53.4
Ben Lake,1993-01-22,Plaid Cymru,"Trinity College, Oxford",30.4
Anna McMorrin,1971-09-24,Labour,University of Southampton,51.7
Robin Millar,1968-10-15,Conservative,University of Manchester,54.6
Jessica Morden,1968-05-29,Labour,University of Birmingham,55.0
Christina Rees,1954-02-21,Labour and Co-operative,University of Wales,69.3
Rob Roberts,1979-10-15,Independent,,43.6
Liz Saville Roberts,1964-12-16,Plaid Cymru,Aberystwyth University,58.5
Nick Smith,1960-01-14,Labour,"Birkbeck, University of London",63.4
Jo Stevens,1966-09-06,Labour,University of Manchester,56.8
Mark Tami,1962-10-03,Labour,"University of Wales, Swansea",60.7
Nick Thomas-Symonds,1980-05-26,Labour,"St Edmund Hall, Oxford",43.0
Jamie Wallis,1984-06-02,Conservative,"Christ Church, Oxford",39.0
Craig Williams,1985-06-07,Conservative,,38.0
Hywel Williams,,Plaid Cymru,Cardiff University,
Beth Winter,1974-10-04,Welsh Labour,University of Bristol,48.7
Hannah Bardell,1983-06-01,Scottish National Party,University of Stirling,40.0
Mhairi Black,1994-09-12,Scottish National Party,University of Glasgow,28.7
Ian Blackford,1961-05-14,Scottish National Party,,62.1
Kirsty Blackman,1986-03-20,SNP,,37.2
Steven Bonnar,1981-08-27,Scottish National Party,,41.8
Andrew Bowie,1987-05-28,Conservative Party,University of Aberdeen,36.0
Deidre Brock,1961-12-08,"SNP Spokesperson for Environment, Food and Rural Affairs",Curtin University,61.5
Alan Brown,1970-08-12,SNP Spokesperson for Infrastructure and Energy,University of Glasgow,52.8
Amy Callaghan,1992-05-21,Scottish National Party,University of Strathclyde,31.0
Lisa Cameron,1972-04-08,Scottish National Party,University of Strathclyde,51.2
Alistair Carmichael,1965-07-15,Chief Whip,University of Aberdeen,57.9
Wendy Chamberlain,1976-12-20,Deputy Leader of the Scottish Liberal Democrats,University of Edinburgh,46.5
Douglas Chapman,1955-01-05,Scottish National Party,Edinburgh Napier University,68.4
Joanna Cherry,1966-03-18,Scottish National Party,University of Edinburgh,57.2
Ronnie Cowan,1959-09-06,Scottish National Party,,63.8
Angela Crawley,1987-06-03,Scottish National Party,University of Stirling,36.0
Martyn Day,1971-03-26,Scottish National Party,,52.2
Martin Docherty-Hughes,1971-01-21,Chief Whip of the Scottish National Party,University of Essex,52.4
Dave Doogan,1973-03-04,Scottish National Party,University of Dundee,50.3
Allan Dorans,1955-07-30,Scottish National Party,,67.9
David Duguid,1970-10-08,Conservative,Robert Gordon University,52.7
Marion Fellows,1949-05-05,SNP,Heriot-Watt University,74.1
Margaret Ferrier,1960-09-10,Independent,,62.7
Stephen Flynn,1988-10-13,Scottish National Party,University of Dundee,34.6
Patricia Gibson,1968-05-12,SNP,University of Glasgow,55.1
Patrick Grady,1980-02-05,Chief Whip of the Scottish National Party,University of Strathclyde,43.3
Peter Grant,1960-10-12,Scottish National Party,,62.7
Neale Hanvey,1964-12-28,Alba Party,City University,58.4
Drew Hendry,1964-05-31,Scottish National Party,,59.0
Stewart Hosie,1963-01-03,SNP,Abertay University,60.4
Alister Jack,1963-07-07,Conservative,Heriot-Watt University,59.9
Christine Jardine,1960-11-24,Liberal Democrats,University of Glasgow,62.5
John Lamont,1976-04-15,Scottish Conservatives,University of Glasgow,47.1
Chris Law,1969-10-21,Scottish National Party,University of St Andrews,53.6
David Linden,1990-05-14,Scottish National Party,,33.1
Kenny MacAskill,1958-04-28,Depute Leader of the Alba Party,University of Edinburgh,65.1
Angus MacNeil,1970-07-21,Scottish National Party,University of Strathclyde,52.9
Stewart McDonald,1986-08-24,Scottish National Party,,36.8
Stuart McDonald,1978-05-02,Scottish National Party,University of Edinburgh,45.1
Anne McLaughlin,1966-03-08,Scottish National Party,,57.3
John McNally,1951-02-01,Scottish National Party,,72.4
Carol Monaghan,1972-08-02,Scottish National Party,University of Strathclyde,50.8
David Mundell,1962-05-27,Conservative,University of Edinburgh,61.0
Ian Murray,1976-08-10,Labour,University of Edinburgh,46.8
Gavin Newlands,1980-02-02,Scottish National Party,,43.3
John Nicolson,1961-06-23,Scottish National Party,University of Glasgow,62.0
Brendan O'Hara,1963-04-27,Scottish National Party,University of Strathclyde,60.1
Kirsten Oswald,1972-12-21,Scottish National Party,University of Glasgow,50.5
Anum Qaisar,1992-09-11,SNP,University of Stirling,30.7
Douglas Ross,1983-01-27,Leader of the Scottish Conservative Party,,40.3
Tommy Sheppard,1959-03-06,Scottish National Party,University of Aberdeen,64.3
Alyn Smith,1973-09-15,Scottish National Party,University of Leeds,49.7
Chris Stephens,1973-03-20,Scottish National Party,,50.2
Jamie Stone,1954-06-16,Liberal Democrats,University of St Andrews,69.0
Alison Thewliss,1982-09-13,Scottish National Party,University of Aberdeen,40.7
Owen Thompson,1978-03-17,Chief Whip of the Scottish National Party,Edinburgh Napier University,45.2
Richard Thomson,1976-06-16,Scottish National Party,University of Stirling,47.0
Philippa Whitford,1958-12-24,Scottish National Party,University of Glasgow,64.5
Pete Wishart,1962-03-09,Scottish National Party,Moray House College of Education,61.3
Órfhlaith Begley,1991-12-19,Sinn Féin,Queen's University Belfast,31.5
Mickey Brady,1950-10-07,Sinn Féin,,72.7
Gregory Campbell,1953-02-15,Democratic Unionist Party,University of Ulster,70.3
Jeffrey Donaldson,1962-12-07,Leader of the Democratic Unionist Party,,60.5
Colum Eastwood,1983-04-30,Leader of the Social Democratic and Labour Party,,40.1
Stephen Farry,1971-04-22,Deputy Leader of the Alliance Party,"Queen's University, Belfast",52.1
John Finucane,,Sinn Féin,St Malachy's College,
Michelle Gildernew,1970-03-28,Sinn Féin,University of Ulster,53.2
Paul Girvan,1963-07-06,Democratic Unionist Party,,59.9
Claire Hanna,1980-06-19,SDLP,Open University,43.0
Chris Hazzard,1984-08-20,Sinn Féin,Queen's University Belfast,38.8
Carla Lockhart,1985-02-28,Democratic Unionist Party,Ulster University,38.3
Paul Maskey,1967-06-10,Sinn Féin,,56.0
Francie Molloy,1950-12-16,Sinn Féin,,72.5
Ian Paisley Jr,1966-12-12,Democratic Unionist Party,Queen's University Belfast,56.5
Gavin Robinson,1984-11-22,Democratic Unionist Party,Ulster University,38.5
Jim Shannon,1955-03-25,Democratic Unionist Party Spokesperson for Health and Social Care,,68.2
Sammy Wilson,1953-04-04,Democratic Unionist Party Chief Whip in the House of Commons,Queen's University Belfast,70.2
Kim Leadbeater,1976-05-01,Labour,Leeds Beckett University,47.1
