name,birth date
Krzysztof Jakubowski,1983-09-23
Evgeni Janev?action=edit&redlink=1,
Igor Janik (chess player),2000-06-09
Lasha Janjgava,1970-05-05
Alojzije Janković,
Dragoljub Janošević,1923-07-08
Sergey Janovsky?action=edit&redlink=1,
Vlastimil Jansa,1942-11-27
Ruud Janssen (chess player)?action=edit&redlink=1,
Paweł Jaracz,1975-07-22
Łukasz Jarmuła,1998-11-10
Ashwin Jayaram?action=edit&redlink=1,
Radosław Jedynak,1982-06-09
Florian Jenni,
Veljko Jeremić?action=edit&redlink=1,
Vlad-Cristian Jianu,1984-09-27
Miloš Jirovský?action=edit&redlink=1,
Baadur Jobava,1983-11-26
Leif Erlend Johannessen,1980-05-14
Darryl Johansen,1959-02-04
Davit Jojua?action=edit&redlink=1,
Gawain Jones,1987-12-11
Harmen Jonkman?action=edit&redlink=1,
Ognjen Jovanić?action=edit&redlink=1,
Zoran Jovanović (chess player)?action=edit&redlink=1,
Ju Wenjun,1991-01-31
Rinat Jumabayev,1989-07-23
Marián Jurčík?action=edit&redlink=1,
Artur Yusupov (chess player),1960-02-13
Nikolai Kabanov,1980-01-22
Giorgi Kacheishvili,1977-02-10
Denis Kadrić,1995-06-12
Gregory Kaidanov,1959-10-11
Aleksandr Kalinin (chess player)?action=edit&redlink=1,
Sergey Kalinitschew,1956-02-03
Gábor Kállai,
Heikki Kallio?action=edit&redlink=1,
Radek Kalod?action=edit&redlink=1,
Sergey Kalugin (chess player)?action=edit&redlink=1,
Arjun Kalyan,2002-06-17
Marcin Kamiński (chess player),1977-03-10
Gata Kamsky,1974-06-02
Kannappan Priyadharshan?action=edit&redlink=1,
Marcel Kanarek,1993-02-05
Meelis Kanep,1983-05-27
Semen Khanin?action=edit&redlink=1,
Toms Kantāns,1994-01-16
Gergely Kantor,1999-07-19
Boris Kantsler?action=edit&redlink=1,
Spyridon Kapnisis?action=edit&redlink=1,
Sergey Karjakin,1990-01-12
Lars Karlsson (chess player),1955-07-11
Aleksandr Karpatchev?action=edit&redlink=1,
Anatoly Karpov,1951-05-23
Karthik Venkataraman?action=edit&redlink=1,
Karthikeyan Murali,1999-01-05
Karthikeyan P.?action=edit&redlink=1,
Isaac Kashdan,1905-11-19
Rustam Kasimdzhanov,1979-12-05
Garry Kasparov,1963-04-13
Sergey Kasparov?action=edit&redlink=1,
Larry Kaufman,1947-11-15
Lubomir Kavalek,1943-08-09
Dmitry Kayumov (chess player)?action=edit&redlink=1,
Sergey Kayumov?action=edit&redlink=1,
Valery Kazakouski,2000-07-14
Mikhail Kazakov (chess player)?action=edit&redlink=1,
Murtas Kazhgaleyev,1973-11-17
Raymond Keene,1948-01-29
Ludger Keitlinghaus?action=edit&redlink=1,
Mikheil Kekelidze?action=edit&redlink=1,
Andreas Kelires,1999-07
Robby Kevlishvili?action=edit&redlink=1,
Vincent Keymer,2004-11-15
Robert Kempiński,1977-07-11
Edvīns Ķeņģis,1959-04-12
Paul Keres,1916-01-07
Melikset Khachiyan,1970-07-06
Ildar Khairullin,1990-08-22
Alexander Khalifman,1966-01-18
Djurabek Khamrakulov?action=edit&redlink=1,
Ibragim Khamrakulov,1982-07-28
Boris Kharchenko?action=edit&redlink=1,
Alexandr Kharitonov (chess player),1986-11-08
Andrei Kharitonov (chess player)?action=edit&redlink=1,
Andrei Kharlov,1968-11-20
Alexander Khasin?action=edit&redlink=1,
Bazar Khatanbaatar?action=edit&redlink=1,
Dmitriy Khegay?action=edit&redlink=1,
Igor Khenkin,1968-03-21
Denis Khismatullin,1984-12-28
Ilya Khmelniker?action=edit&redlink=1,
Ratmir Kholmov,
Bela Khotenashvili,1988-06-01
Alexey Khruschiov?action=edit&redlink=1,
Rustam Khusnutdinov (chess player)?action=edit&redlink=1,
Alexey Kim,1986-04-05
Stefan Kindermann,1959-12-28
Daniel King (chess player),1963-08-28
Petr Kiriakov?action=edit&redlink=1,
Nino Kirov,1945-09-11
Vitaliy Kiselev?action=edit&redlink=1,
Sergey Kishnev?action=edit&redlink=1,
Alexey Kislinsky?action=edit&redlink=1,
Gudmundur Kjartansson?action=edit&redlink=1,
Zlatko Klarić?action=edit&redlink=1,
David Klein (chess player),1993-12-20
Maciej Klekowski,1992-09-05
Sergey Klimov (chess player)?action=edit&redlink=1,
Josef Klinger?action=edit&redlink=1,
Jānis Klovāns,1935-04-09
Rainer Knaak,1953-03-16
Milorad Knežević,1936-10-31
Mikhail Kobalia,1978-05-03
Ori Kobo?action=edit&redlink=1,
Alexander Kochyev,1956-03-25
Artur Kogan,1974-01-29
Dmitry Kokarev (chess player),1982-02-18
Atanas Kolev,
Dmitrij Kollars,1999-08-13
George Koltanowski,1903-09-17
Dimitri Komarov,1968-12
Viktor Komliakov?action=edit&redlink=1,
Davorin Komljenović?action=edit&redlink=1,
Koneru Humpy,1987-03-31
Igor Koniushkov?action=edit&redlink=1,
Dmitry Kononenko,
Nikolay Konovalov?action=edit&redlink=1,
Alexander Konstantinopolsky,1910-02-19
Viktor Korchnoi,1931-03-23
Akshayraj Kore,1988-09-01
Oleg Korneev,1969-07-25
Alexei Kornev?action=edit&redlink=1,
Anton Korobov,1985-06-25
Alexey Korotylev,1977-03-01
Bence Korpa?action=edit&redlink=1,
Goran Kosanović?action=edit&redlink=1,
Yona Kosashvili,1970-07-03
Dragan Kosić?action=edit&redlink=1,
Nadezhda Kosintseva,1985-01-14
Tatiana Kosintseva,1986-04-11
Anthony Kosten,1958-07-24
Alexandra Kosteniuk,1984-04-23
Petr Kostenko?action=edit&redlink=1,
Boris Kostić,
Vladimir Kostić?action=edit&redlink=1,
Vladimir Kosyrev?action=edit&redlink=1,
Tigran Kotanjian,1981-09-01
Alexander Kotov,1913-08-12
Vasilios Kotronias,1964-08-25
Pavel Kotsur,1973-01-03
Bachar Kouatly,1958-03-03
Aleksandar Kovačević (chess player)?action=edit&redlink=1,
Blažimir Kovačević?action=edit&redlink=1,
Vlatko Kovačević,1942-03-26
Igor Kovalenko,1988-12-29
Andrei Kovalev (chess player)?action=edit&redlink=1,
Vladislav Kovalev,1994-01-06
Anton Kovalyov,1992-03-04
Alexander Kovchan,1983-10-21
Ádám Kozák,2002-06-15
Zdenko Kožul,1966-05-21
Jesse Kraai,1972-05-06
Yair Kraidman,
Māris Krakops,1978-04-03
Martin Krämer,1987-12-23
Vladimir Kramnik,1975-06-25
Alexander Krapivin?action=edit&redlink=1,
Michał Krasenkow,1963-11-14
Martyn Kravtsiv,1990-11-26
Boris Kreiman,1976-06-07
Jan Krejčí (chess player),1992-09-27
Jens Kristiansen,1952-05-25
Stefán Kristjánsson,1982-12-08
Leonid Kritz?action=edit&redlink=1,
Egor Krivoborodov?action=edit&redlink=1,
Sergei Krivoshey?action=edit&redlink=1,
Nikolai Krogius,
Yuri Kruppa?action=edit&redlink=1,
Irina Krush,1983-12-24
Dmitry Kryakvin?action=edit&redlink=1,
Mikhail Krylov?action=edit&redlink=1,
Leandro Krysa,1992-11-07
Yuriy Kryvoruchko,1986-12-19
Marcin Krzyżanowski,1994-01-11
Robert Kuczyński,1966-04-17
Sergey Kudrin,
Kaido Külaots,1976-02-28
Adam Kuligowski,1955-12-24
Davorin Kuljašević?action=edit&redlink=1,
Dharshan Kumaran,1975-06-07
Vitaly Kunin,1983-10-02
Abhijit Kunte,1977-03-03
Viktor Kupreichik,1949-07-03
Bojan Kurajica,1947-11-15
Igor Kurnosov,1985-05-30
Rolando Kutirov?action=edit&redlink=1,
Temur Kuybokarov,2000-07-22
Alexey Kuzmin (chess player)?action=edit&redlink=1,
Gennady Kuzmin,
Yuriy Kuzubov,1990-01-26
Aloyzas Kveinys,1962-07-09
Andrey Kvon?action=edit&redlink=1,
Ottomar Ladva,1997-06-17
Pablo Lafuente?action=edit&redlink=1,
Maxime Lagarde,1994-03-16
Kateryna Lagno,1989-12-27
Borko Lajthajm?action=edit&redlink=1,
Bogdan Lalić,1964-03-08
M. R. Lalith Babu,1993-01-05
Erwin l'Ami,1985-04-05
Jonas Lampert?action=edit&redlink=1,
Konstantin Landa,1972-05-22
Zigurds Lanka,1960-05-21
David Lariño Nieto?action=edit&redlink=1,
Bent Larsen,1935-03-04
Alexander Lastin,1976-11-30
Ralf Lau,
Tomas Laurušas,1996-02-13
Joël Lautier,1973-04-12
R. R. Laxman?action=edit&redlink=1,
Darwin Laylo,1980-06-01
Vladimir Lazarev,1964-06-05
Denis Lazavik?action=edit&redlink=1,
Miroljub Lazić?action=edit&redlink=1,
Viktor Láznička,1988-01-09
Lê Quang Liêm,1991-03-13
Lê Tuấn Minh,1996-10-21
Jean-Pierre Le Roux (chess player),1982-05-18
Jiří Lechtýnský,1947-11-25
Nikolay Legky?action=edit&redlink=1,
Heinz Lehmann (chess player),1921-10-20
Lei Tingjie,1997-03-13
Anatoly Lein,1931-03-28
Rafael Leitão,1979-12-28
Peter Leko,1979-09-08
Damián Lemos (chess player)?action=edit&redlink=1,
Aleksandr Lenderman,1989-09-23
Levente Lengyel,1933-06-13
Luka Lenič,1988-05-13
Manuel León Hoyos,1989-02-10
Konstantin Lerner,
Alexandre Lesiège,1975-08-18
Arkadiusz Leniart,1991-06-20
Ronen Lev?action=edit&redlink=1,
Grigory Levenfish,1889-03-19
Ivan Leventić?action=edit&redlink=1,
Evgeny A. Levin?action=edit&redlink=1,
Felix Levin?action=edit&redlink=1,
Jonathan Levitt?action=edit&redlink=1,
Li Chao (chess player),1989-04-21
Li Di (chess player)?action=edit&redlink=1,
Ruifeng Li,2001-09-14
Li Shilong,1977-08-10
Awonder Liang,2003-04-09
Liang Chong,1980-01-29
Liang Jinrong,1960-05-21
Vladimir Liberzon,
Fabien Libiszewski?action=edit&redlink=1,
Kjetil Aleksander Lie,1980-11-18
Tomáš Likavský?action=edit&redlink=1,
Andor Lilienthal,1911-05-05
Darcy Lima,1962-05-22
Lin Chen (chess player)?action=edit&redlink=1,
Daniil Lintchevski,1990-05-17
Eran Liss?action=edit&redlink=1,
Liu Qingnan,1992-05-23
Liu Yan (chess player)?action=edit&redlink=1,
Leon Livaic?action=edit&redlink=1,
Ljubomir Ljubojević,1950-11-02
Miguel Llanes Hurtado?action=edit&redlink=1,
Sergei Lobanov (chess player),2001-05-19
Eric Lobron,1960-05-07
Lorenzo Lodici,2000-04-16
Valery Loginov,1955-12-13
Semyon Lomasov?action=edit&redlink=1,
William Lombardy,1937-12-04
Davit Lomsadze?action=edit&redlink=1,
Josep Manuel López Martínez?action=edit&redlink=1,
Denis Lopushnoy?action=edit&redlink=1,
Martín Lorenzini?action=edit&redlink=1,
Shahin Lorparizangeneh?action=edit&redlink=1,
Smbat Lputian,1958-02-14
Lu Shanglei,1995-07-10
Aleksei Lugovoi?action=edit&redlink=1,
Maxim Lugovskoy?action=edit&redlink=1,
Igor Liutsko?action=edit&redlink=1,
Péter Lukács,1950-06-09
Valentin Lukov?action=edit&redlink=1,
Erik Lundin,1904-07-02
Andrey Lunev (chess player)?action=edit&redlink=1,
Mircea-Sergiu Lupu?action=edit&redlink=1,
Constantin Lupulescu,1984-03-25
Thomas Luther,
Anatoly Lutikov,1933-02-05
Christopher Lutz,1971-02-24
Moulthun Ly,1991-11-20
Igor Lysyj,1987-01-01
Ma Qun,1991-11-09
Anatoly Machulsky?action=edit&redlink=1,
Bartłomiej Macieja,1977-10-04
Jordi Magem Badals,1967-08-24
Elmar Magerramov,1958-04-10
Davit Maghalashvili?action=edit&redlink=1,
Parham Maghsoodloo,2000-08-11
Magaram Magomedov,1966-05-20
Morteza Mahjoob,1980-03-20
Romuald Mainka?action=edit&redlink=1,
Nikita Maiorov?action=edit&redlink=1,
Oleg Maiorov?action=edit&redlink=1,
Jens-Uwe Maiwald?action=edit&redlink=1,
Sergey Makarichev,1953-11-17
Denis Makhnev?action=edit&redlink=1,
Marat Makarov?action=edit&redlink=1,
Vladimir Makogonov,1904-08-27
Andrei Maksimenko?action=edit&redlink=1,
Vadim Malakhatko,1977-03-22
Vladimir Malakhov (chess player),1980-11-27
Vladimir Malaniuk,1957-07-21
Pavel Maletin?action=edit&redlink=1,
Burkhard Malich,1936-11-29
Vasily Malinin?action=edit&redlink=1,
Vidmantas Mališauskas,1963-08-04
Nidjat Mamedov,1985-04-02
Rauf Mamedov,1988-04-26
Shakhriyar Mamedyarov,1985-04-12
Zaur Mammadov (chess player)?action=edit&redlink=1,
Mikuláš Maník,1975-05-26
Marius Manolache?action=edit&redlink=1,
Ilan Manor?action=edit&redlink=1,
Cyril Marcelin?action=edit&redlink=1,
David Marciano (chess player)?action=edit&redlink=1,
Sandro Mareco,1987-05-13
Giorgi Margvelashvili (chess player),
Nelson Mariano,1974-06-28
Mihail Marin,1965-04-21
Sergio Mariotti,1946-08-10
Rudolf Marić,1927-05-13
Slavoljub Marjanović,1955-01-06
Ján Markoš,1985-07-02
David S. Markosian?action=edit&redlink=1,
Miroslav Marković (chess player)?action=edit&redlink=1,
Tomasz Markowski (chess player),1975-07-30
Robert Markuš,
Géza Maróczy,1870-03-03
Dražen Marović,
Jose Eduardo Martinez Alcantara,1999-01-31
Lelys Stanley Martinez Duany?action=edit&redlink=1,
Saša Martinović (chess player),1991-07-15
Slobodan Martinović,
Haik M. Martirosyan,2000-07-14
Konstantin Maslak?action=edit&redlink=1,
Athanasios Mastrovasilis?action=edit&redlink=1,
Dimitrios Mastrovasilis,1983-06-12
Carlos Matamoros Franco,1966-12-17
Aleksandar Matanović,1930-05-23
Ramon Mateo?action=edit&redlink=1,
Nikita Matinian?action=edit&redlink=1,
Gennady Matjushin?action=edit&redlink=1,
Maxim Matlakov,1991-03-05
Sergei Matsenko,1990-06-21
Everaldo Matsuura,
Milan Matulović,1935-06-10
Michał Matuszewski?action=edit&redlink=1,
Viktor Matviishen,2002-01-10
Marc'Andria Maurizzi,2007-05-16
Dmitry Maximov?action=edit&redlink=1,
Sébastien Mazé,1984-02-08
Neil McDonald (chess player),1967-01-21
Colin McNab,1961-02-03
Luke McShane,1984-01-07
Mikheil Mchedlishvili,1979-06-04
Henrique Mecking,1952-01-23
Edmar Mednis,1937-03-22
Eduard Meduna?action=edit&redlink=1,
Zoltán Medvegy?action=edit&redlink=1,
Susanto Megaranto,1987-10-08
Georg Meier (chess player),1987-08-26
Viesturs Meijers,1967-12-05
Jakob Meister?action=edit&redlink=1,
Krikor Sevag Mekhitarian,1986-11-15
Hrant Melkumyan,1989-04-30
Leon Luke Mendonca,2006-03-13
Nikita Meshkovs,1994-06-30
Jonathan Mestel,1957-03-13
Anurag Mhamal?action=edit&redlink=1,
Peter Michalik?action=edit&redlink=1,
Bart Michiels?action=edit&redlink=1,
Jacques Mieses,1865-02-27
Normunds Miezis,1971-05-11
Olivér Mihók?action=edit&redlink=1,
Arman Mikaelyan,1996-11-25
Vladas Mikėnas,1910-04-17
Adrian Mikhalchishin,
Lubomir Mikhaletz?action=edit&redlink=1,
Victor Mikhalevski,1972-07-08
Igor Miladinović,1974-01-25
Danilo Milanović?action=edit&redlink=1,
Tony Miles,1955-04-23
Borislav Milić,1925-10-20
Miroslav Miljković?action=edit&redlink=1,
Gilberto Milos,1963-10-30
Leonid Milov (chess player)?action=edit&redlink=1,
Vadim Milov,1972-08-01
Ara Minasian?action=edit&redlink=1,
Artashes Minasian,1967-01-21
Dragoljub Minić,1937-03-05
Gilles Mirallès,1966-02-08
Elier Miranda Mesa?action=edit&redlink=1,
Lucian-Costin Miron?action=edit&redlink=1,
Evgenij Miroshnichenko,1978-12-28
Abhimanyu Mishra,2009-02-05
Vigen Mirumian?action=edit&redlink=1,
Azer Mirzoev,1978-03-20
Emil Mirzoev?action=edit&redlink=1,
Aleksander Miśta,1983-01-07
Nikola Mitkov?action=edit&redlink=1,
Kamil Mitoń,1984-04-12
Guha Mitrabha?action=edit&redlink=1,
Roberto Mogranzini?action=edit&redlink=1,
Georg Mohr (chess player),1965-02-02
Stefan Mohr,
Alexander Moiseenko,1980-05-17
Vadim Moiseenko,1994-07-07
Karel Mokry?action=edit&redlink=1,
Abdullah Al Rakib,1980-12-02
Mackenzie Molner,1988-08-01
Leon Mons?action=edit&redlink=1,
Mario Monticelli,1902-03-16
Elshan Moradi,1985-05-22
Wojciech Moranda,1988-08-17
Javier Moreno Carnero?action=edit&redlink=1,
Luca Moroni?action=edit&redlink=1,
Iván Morovic Fernández,
Alexander Moroz,1961-01-18
Alexander Morozevich,1977-07-18
Masoud Mosadeghpour?action=edit&redlink=1,
Alexander Moskalenko (chess player)?action=edit&redlink=1,
Viktor Moskalenko?action=edit&redlink=1,
Paul Motwani,1962-06-13
Alexander Motylev,1979-06-17
Seyed Khalil Mousavi?action=edit&redlink=1,
Jules Moussard,1995-01-16
Sergei Movsesian,1978-11-03
Karen Movsziszian,1963-01-06
Mikhail Mozharov?action=edit&redlink=1,
Martin Mrva,1971-12-12
Karsten Müller,1970-11-23
Gombosuren Munkhgal?action=edit&redlink=1,
Mahammad Muradli,2003-08-01
Andrei Murariu?action=edit&redlink=1,
Alija Muratović?action=edit&redlink=1,
Jacob Murey,
Niaz Murshed,1966-05-13
Miguel Pantoja Muñoz?action=edit&redlink=1,
Volodar Murzin,2006-07-18
Mladen Muše?action=edit&redlink=1,
Anna Muzychuk,1990-02-28
Mariya Muzychuk,1992-09-21
Tamir Nabaty,1991-05-04
Sergey Nadyrkhanov?action=edit&redlink=1,
Gábor Nagy (chess player)?action=edit&redlink=1,
Arkadij Naiditsch,1985-10-25
Miguel Najdorf,1910-04-15
Toni Najdoski?action=edit&redlink=1,
Evgeniy Najer,1977-06-22
Hikaru Nakamura,1987-12-09
Tigran Nalbandian?action=edit&redlink=1,
Costicǎ-Ciprian Nanu?action=edit&redlink=1,
S. L. Narayanan,1998-01-10
Srinath Narayanan,1994-02-14
Marc Narciso Dublan,1974-01-20
Daniel Naroditsky,1995-11-09
Urtnasan Nasanjargal?action=edit&redlink=1,
Grzegorz Nasuta,1996-03-01
Igor-Alexandre Nataf,1978-05-02
Alexander Naumann (chess player)?action=edit&redlink=1,
Igor Naumkin,
David Navara,1985-03-27
Trajko Nedev?action=edit&redlink=1,
Neelotpal Das?action=edit&redlink=1,
Parimarjan Negi,1993-02-09
Arturs Neikšāns,1983-03-16
Ivan Nemet,
Ian Nepomniachtchi,1990-07-14
Arseniy Nesterov?action=edit&redlink=1,
Yakov Nesterov?action=edit&redlink=1,
Nikola Nestorović (chess player)?action=edit&redlink=1,
Petr Neuman?action=edit&redlink=1,
Vladislav Nevednichy,1969-09-03
Valeriy Neverov,1964-06-21
Vladimir Nevostrujev?action=edit&redlink=1,
Nguyễn Anh Dũng,1976-03-17
Nguyễn Anh Khôi,2002-01-11
Nguyễn Đức Hòa,1989-07-13
Nguyễn Huynh Minh Huy?action=edit&redlink=1,
Nguyễn Ngọc Trường Sơn,1990-02-23
Thai Dai Van Nguyen,2001-12-12
Nguyễn Văn Huy,1985-03-14
Ni Hua,1983-05-31
Peter Heine Nielsen,1973-05-24
Hans Niemann,2003-06-20
Nihal Sarin,2004-07-13
Friso Nijboer,1965-05-26
Nebojsa Nikcevic?action=edit&redlink=1,
Mihail Nikitenko?action=edit&redlink=1,
Andrey Nikitin (chess player)?action=edit&redlink=1,
Juraj Nikolac,1932-04-22
Ioannis Nikolaidis,1971-01-04
Oleg Nikolenko?action=edit&redlink=1,
Predrag Nikolić,1960-09-11
Stanimir Nikolić?action=edit&redlink=1,
Momchil Nikolov,1985-03-03
Nikolai Ninov?action=edit&redlink=1,
Liviu-Dieter Nisipeanu,1976-08-01
Jesús Nogueiras,1959-07-17
David Norwood,
Alexander Nosenko?action=edit&redlink=1,
Benjamin Arvola Notkevich,1993-02-09
Maxim Novik?action=edit&redlink=1,
Igor Novikov (chess player),
Maksim Novikov (chess player)?action=edit&redlink=1,
Stanislav Novikov?action=edit&redlink=1,
John Nunn,1955-04-25
Tomi Nybäck,1985-04-03
Illya Nyzhnyk,1996-09-27
Andrés Carlos Obregón?action=edit&redlink=1,
Juan Carlos Obregon Rivero?action=edit&redlink=1,
Alexander Obukhov (chess player)?action=edit&redlink=1,
Handszar Odeev,1972-01-27
Leif Øgaard,1952-01-05
Albéric O'Kelly de Galway,1911-05-17
Vladimir Okhotnik,1950-02-28
Friðrik Ólafsson,1935-01-26
Helgi Ólafsson,1956-08-15
Mykhaylo Oleksiyenko,1986-09-30
Kevel Oliva Castañeda?action=edit&redlink=1,
Lembit Oll,
Michał Olszewski (chess player),1989-09-23
Artem Omelja?action=edit&redlink=1,
Josep Oms Pallise,1973-07-20
Alexander Onischuk,1975-09-03
Volodymyr Onyshchuk,1991-07-21
Grigoriy Oparin,1997-07-01
Tomáš Oral,1977-12-24
Michael Oratovsky?action=edit&redlink=1,
Andrey Orlov?action=edit&redlink=1,
Lexy Ortega,1960-03-08
Isan Reynaldo Ortiz Suárez,1985-03-30
Berge Østenstad,1964-09-15
Predrag Ostojić,
Roman Ovetchkin?action=edit&redlink=1,
Sergei Ovsejevitsch?action=edit&redlink=1,
Milan Pacher?action=edit&redlink=1,
Luděk Pachman,
Nikola Padevsky,
Elisabeth Pähtz,1985-01-08
Thomas Pähtz,1956-09-04
Luka Paichadze,1991-03-06
Zbigniew Pakleza,1986-12-05
Mladen Palac,1971-02-18
Sam Palatnik,
Davor Palo,
Mikhail Panarin?action=edit&redlink=1,
Magesh Chandran Panchanathan,1983-08-10
Alexander Panchenko,
Oscar Panno,
Levan Pantsulaia,1986-02-26
Enrico Paoli,1908-01-13
Gyula Pap (chess player)?action=edit&redlink=1,
Miša Pap?action=edit&redlink=1,
Ioannis Papadopoulos (chess player),
Ioannis Papaioannou,1976-04-20
Vasily Papin,1988-09-21
Gabor Papp?action=edit&redlink=1,
Mark Paragua,1984-03-29
David Paravyan,1998-03-08
Jonathan Parker (chess player),
Mircea Pârligras,1980-12-28
Bruno Parma,
Arman Pashikian,1987-07-28
Dragan Paunović?action=edit&redlink=1,
Duško Pavasovič,1976-10-15
Antonios Pavlidis?action=edit&redlink=1,
Maxim Pavlov (chess player)?action=edit&redlink=1,
Miloš Pavlović (chess player)?action=edit&redlink=1,
Jerguš Pecháč,2001-10-31
Yannick Pelletier,1976-09-22
Manuel Pena Gomez?action=edit&redlink=1,
Li Min Peng?action=edit&redlink=1,
Peng Xiaomin,1973-04-08
Peng Zhaoqin,1968-05-08
Jonathan Penrose,1933-10-07
Fernando Peralta (chess player)?action=edit&redlink=1,
Eugene Perelshteyn,1980-02-02
Manuel Pérez Candelario?action=edit&redlink=1,
Orelvis Pérez Mitjans?action=edit&redlink=1,
Federico Pérez Ponsa,1993-10-22
Luís Manuel Pérez Rodriguez?action=edit&redlink=1,
Nicholas Pert,1981-01-22
Miloš Perunović,1984-01-14
Juzefs Petkēvičs,
Momchil Petkov?action=edit&redlink=1,
Vladimir Petkov,1971-01-26
Martin Petr,1999-03-14
Tomáš Petřík?action=edit&redlink=1,
Arshak Petrosian,1953-12-16
Davit G. Petrosian,1984-09-20
Tigran Petrosian,1929-06-17
Tigran L. Petrosian,1984-09-17
Manuel Petrosyan,1998-05-06
Marijan Petrov?action=edit&redlink=1,
Martin Petrov (chess player)?action=edit&redlink=1,
Nikita Petrov (chess player),1996-07-01
Margeir Pétursson,1960-02-15
Helmut Pfleger,1943-08-06
Alan Pichot,1998-08-13
Wolfgang Pietzsch,
Evgeny Pigusov,1961-03-31
Jeroen Piket,1969-01-27
Dejan Pikula,1969-07-31
Georgiy Pilavov?action=edit&redlink=1,
Hermann Pilnik,1914-01-08
József Pintér,1953-11-09
Kacper Piorun,1991-11-24
Vasja Pirc,1907-12-19
Yury Piskov?action=edit&redlink=1,
Ján Plachetka,
Albin Planinc,
James Plaskett,1960-03-18
Vojtěch Plát,1994-01-23
Evgeniy Podolchenko?action=edit&redlink=1,
Hagen Poetsch?action=edit&redlink=1,
Ruslan Pogorelov?action=edit&redlink=1,
Tomáš Polák?action=edit&redlink=1,
Judit Polgár,1976-07-23
Susan Polgar,1969-04-19
Lev Polugaevsky,1934-11-20
Aleksandr Poluljahov?action=edit&redlink=1,
Rainer Polzin?action=edit&redlink=1,
Arturo Pomar,
Pavel Ponkratov,1988-07-15
Ruslan Ponomariov,1983-10-11
Milko Popchev,1964-11-11
Gil Popilski,1993-10-06
Ivan Popov (chess player),1990-03-20
Valerij Popov,
Dušan Popović (chess player)?action=edit&redlink=1,
Petar Popović (chess player),
Lajos Portisch,1937-04-04
Evgeny Postny,1981-07-03
Alexander Potapov (chess player)?action=edit&redlink=1,
Pavel Potapov?action=edit&redlink=1,
Vladimir Potkin,1982-06-28
Amirreza Pourramezanali,1992-09-23
Sandro Pozo Vera?action=edit&redlink=1,
Praggnanandhaa Rameshbabu,2005-08-10
Pranav V,2006-10-13
Pranav Anand?action=edit&redlink=1,
Pranesh M?action=edit&redlink=1,
Alexandr Predke,1994-01-05
Borki Predojević,1987-04-06
Razvan Preotu,1999-08-11
Novendra Priasmoro?action=edit&redlink=1,
Aleksei Pridorozhni,
Éric Prié,1962-03-04
Lodewijk Prins,1913-01-27
Prithu Gupta,2004-03-08
Péter Prohászka,1992-01-13
Evgeny Prokopchuk (chess player)?action=edit&redlink=1,
Roeland Pruijssers,1989-08-16
Michael Prusikin?action=edit&redlink=1,
Lev Psakhis,1958-11-29
Stojan Puc,1921-04-09
Paulius Pultinevičius,2001-11-24
Abhimanyu Puranik,2000-02-11
Nikolai Pushkov (chess player)?action=edit&redlink=1,
Alexandre Qashashvili?action=edit&redlink=1,
Luis Ernesto Quesada Pérez?action=edit&redlink=1,
Yasser Quesada Pérez,1992-05-23
Yuniesky Quesada,1984-07-31
Miguel Quinteros,1947-12-28
Renato R. Quintiliano Pinto?action=edit&redlink=1,
Giga Quparadze?action=edit&redlink=1,
Robert Rabiega,1971-02-01
Teimour Radjabov,1987-03-12
Ivan Radulov,1939-01-07
Julian Radulski,
Alexander Raetsky?action=edit&redlink=1,
Markus Ragger,1988-02-05
Viacheslav Ragozin,1908-10-08
Ziaur Rahman (chess player),1974-05-01
Rahul Srivatshav P?action=edit&redlink=1,
Vladimir Raičević?action=edit&redlink=1,
Raja Harshit?action=edit&redlink=1,
Raja Rithvik R?action=edit&redlink=1,
Dušan Rajković,1942-06-17
Ankit Rajpara,1994-08-27
Aleksandr Rakhmanov,1989-08-28
Francesco Rambaldi,1999-01-19
Ramachandran Ramesh,
Alejandro Ramírez (chess player),1988-06-21
Yrjö Rantanen,1950-04-23
Richárd Rapport,1996-03-25
Nukhim Rashkovsky,1946-04-18
Vitězslav Rašík?action=edit&redlink=1,
Allan Stig Rasmussen,1983-11-20
Vugar Rasulov,1991-04-05
Miloje Ratković?action=edit&redlink=1,
Danny Raznikov?action=edit&redlink=1,
Yuri Razuvaev,1945-10-10
Gad Rechlis,1967-02-05
Hans Ree,
Reefat Bin-Sattar,1974-07-25
Dimitri Reinderman,1972-08-12
Éloi Relange?action=edit&redlink=1,
Olivier Renet?action=edit&redlink=1,
Christopher Repka,1998-10-06
Samuel Reshevsky,1911-11-26
Alexander Riazantsev (chess player),1985-09-12
Zoltán Ribli,1951-09-06
Pablo Ricardi,1962-02-25
Michael Richter (chess player)?action=edit&redlink=1,
Jean-Noël Riff?action=edit&redlink=1,
Tanguy Ringoir?action=edit&redlink=1,
Cristhian Camilo Ríos?action=edit&redlink=1,
Nenad Ristic?action=edit&redlink=1,
Manuel Rivas Pastor,1960-07-13
Aimen Rizouk,1979-08-03
Karl Robatsch,1929-10-14
Ray Robson,1994-10-25
Amador Rodríguez Céspedes,1956-09-18
Enrique Rodríguez Guerrero?action=edit&redlink=1,
Orestes Rodríguez Vargas,1943-07-04
Andrés Rodríguez Vila,1973-12-19
Maxim Rodshtein,1989-01-19
Miloš Roganović?action=edit&redlink=1,
Ian Rogers (chess player),1960-06-24
